CommandLine, Time, Executable, Parent PID, PID, User, Privileges
('"C:\\Windows\\system32\\backgroundTaskHost.exe" -ServerName:Microsoft.MicrosoftOfficeHub.AppX54h2e8jwdm50fj5ha8987vz1etpx7czd.mca, 20231129234602.024774-180, C:\\Windows\\system32\\backgroundTaskHost.exe,1332, 14544, (\'DESKTOP-LD9L3FQ\', 0, \'Matheus\')', {'N/A'})
('"C:\\WINDOWS\\system32\\backgroundTaskHost.exe" -ServerName:Global.RulesEngine.AppXgphnekvm0vv49drvfehh4b6kyf6ckafp.mca, 20231129234602.048343-180, C:\\WINDOWS\\system32\\backgroundTaskHost.exe,1332, 19196, (\'DESKTOP-LD9L3FQ\', 0, \'Matheus\')', {'N/A'})
('"C:\\WINDOWS\\system32\\backgroundTaskHost.exe" -ServerName:Global.DesktopSpotlight.AppXz2j21w56bgxkgsjhtn7zkjsepq96erz2.mca, 20231129234602.031910-180, C:\\WINDOWS\\system32\\backgroundTaskHost.exe,1332, 19796, (\'DESKTOP-LD9L3FQ\', 0, \'Matheus\')', {'N/A'})
("C:\\Windows\\System32\\RuntimeBroker.exe -Embedding, 20231129234602.051516-180, C:\\Windows\\System32\\RuntimeBroker.exe,1332, 22392, ('DESKTOP-LD9L3FQ', 0, 'Matheus')", {'N/A'})
('"C:\\Program Files\\WindowsApps\\MicrosoftTeams_23285.3703.2471.4627_x64__8wekyb3d8bbwe\\msteamsupdate.exe" -RegisterComServerForEcsTask -Embedding, 20231129234602.017128-180, C:\\Program Files\\WindowsApps\\MicrosoftTeams_23285.3703.2471.4627_x64__8wekyb3d8bbwe\\msteamsupdate.exe,1332, 6264, (\'DESKTOP-LD9L3FQ\', 0, \'Matheus\')', {'N/A'})
('None, 20231129234603.845989-180, None,3816, 19232, (None, 2, None)', {'N/A'})
('None, 20231129234603.859740-180, None,3816, 22588, (None, 2, None)', {'N/A'})
('None, 20231129234612.991578-180, None,1112, 19636, (None, 2, None)', {'N/A'})
('None, 20231129234724.642601-180, None,11012, 7852, (None, 2, None)', {'N/A'})
('"C:\\Users\\Matheus\\AppData\\Local\\Vivaldi\\Application\\6.4.3160.47\\Installer\\setup.exe" --vivaldi-install-dir="C:\\Users\\Matheus\\AppData\\Local\\Vivaldi" --delete-old-versions --verbose-logging, 20231129235038.502964-180, C:\\Users\\Matheus\\AppData\\Local\\Vivaldi\\Application\\6.4.3160.47\\Installer\\setup.exe,20684, 22504, (\'DESKTOP-LD9L3FQ\', 0, \'Matheus\')', {'N/A'})
('None, 20231129235039.338013-180, None,3816, 24088, (None, 2, None)', {'N/A'})
('None, 20231129235039.323647-180, None,3816, 9640, (None, 2, None)', {'N/A'})
